Code,Message
CMN00001,Chúc mừng sinh nhật Sotrans. Chúc Công ty ngày càng phát triển
CMN00002,Mừnh sinh nhật lần thứ 50 cua cty .. chúc cty ngay càng phát trien và vươn xa hơn nữa
CMN00004,Chúc mừng kỷ niệm 50 năm ngày thành lập CTy Sotrans . Chúc Cty sớm hoàn tành mục tiêu .
CMN00006,"Sinh nhật rực rỡ, hành trình phía trước càng mạnh mẽ – Chúc mừng Sotrans Logistics!"
CMN00007,Chúc Sotrans gruop có một sinh nhật thật ý nghĩa và có thêm sinh nhật 50 năm trong tương lai
CMN00008,"Chúc tập đoàn ngày càng cắm rễ sâu trong ngành, cành vươn nhiều lá ngọt, tạo ra nhiều giá trị."
CMN00009,"Chúc công ty luôn bên vững và phát triển, đạt được những mục tiêu đã đề ra một cách thuận lợi"
CMN00010,Chúc mừng sinh nhật SoTran Group
CMN00011,"50 năm phát triển bền vững. Chúc Sotrans luôn năng động, trẻ trung, tăng trưởng và thành công !"
CMN00012,Chúc mừng sinh nhật SOTRANS - Phát triển mạnh và rất mạnh hơn nữa.
CMN00013,Chúc mừng kỷ niệm 50 năm thành lập. Xin chúc STG giữ vững vị thế tiên phong trên thị trường.
CMN00014,"Chúc mừng Sinh nhật Sotrans Group, chúc Tập đoàn phát triển vững mạnh."
CMN00016,"Chúc cho STG ngày càng phát triển, thịnh vượng và vươn ra biển lớn."
CMN00020,Xin chúc mừng Sotrans 50 năm – phát triển bền vững và rực rỡ hơn nữa!
CMN00021,Chuc mừng sn sotrans group
CMN00022,"Chúc công ty tiếp tục phát triển bền vững, đột phá mạnh mẽ, và vươn xa hơn nữa."
CMN00023 ,Chúc cty ngày càng lớn mạnh và phát triển
CMN00024,Chúc Sotrans Group vững mạnh phát triển
CMN00025,HAPPY BIRTHDAY STG
STH00001,Chúc mừng SWC và STG sinh nhật 50 tuổi!
STH00002,Chúc mừng sinh nhật lần thứ 50 SWC và STG!
STH00006,Happy Birthday Sotrans Group
STH00007,Chúc mừng kỷ niệm 50 năm thành lập Công ty CP Kho vận miền Nam. Chúc công ty ngày càng lớn mạnh
STH00008,"Chúc mừng Sotrans 50 năm – nửa thế kỷ uy tín, vững bước tương lai!"
STH00009,"Chúc Sotrans ngày càng phát triển lớn mạnh, trở thành đầu tàu trong ngành Logistics !!!"
STH00010,Happy birthday
STH00011,Happy birthday Sotrans 50 năm thành lập - vững mạnh với thời gian!
STH00012,Chúc Đại gia đình Sotrans luôn giữ vững tinh thần tiên phong không ngừng đổi mới và bứt phá mạnh mẽ!
STH00013,"Xin chúc công ty ngày càng vững mạnh, ngày càng uy tín trên thị trường logistics Việt Nam v"
STH00017,happy birthday
STH00018,50 năm một chặng đường – chúc Sotrans tiếp tục thành công và vươn tầm quốc tế!!!!
STH00020,"50 vinh quang, trường tồn ✨🏆🥇"
STH00024,Chúc mừng sinh nhật STL 50 năm.
STH00048,Tiếp tục phát triển bền vững cho 50 tiếp theo.
STH00049,Chúc mừng sinh nhật sotrans group
STH00050,"Chúc mừng SOTRANS 50 năm thành lập, nửa thế kỷ đưa logistic Việt Nam vươn tầm quốc tế!"
STH00051,"Một chặng đường mới mở ra, chúc đại gia đình Sotrans luôn vững vàng – bứt phá – thành công"
STH00052,Happy birthday SWC
STH00053,"Chúc Công ty ngày càng thành công, phát triển nhanh, thần tốc, bền vững."
STH00054,Chúc mừng sinh nhật SOTRANS
STH00056,CHÚC MỪNG SINH NHẬT SOTRANS MÃI LỚN MẠNH!
STH00059,"Chúc toàn thể Sotrans luôn phát triển bền vững, vững mạnh!"
STH00060,100k
STH00061,Chúc công ty ngày càng thành công rực rỡ 🥰
STH00062,"Chúc Sotrans Group ngày một vững mạnh, tiến bước không ngừng và gặt hái được những thành quả to lớn"
STH00064,CHÚC SOTRANS PHÁT TRIỂN BỀN VỮNG VÀ CÓ NHIỀU ĐỘT PHÁ VƯƠN TẦM THẾ GIỚI
STH00066,Chúc mừng sinh nhật Sotrans Logistics phát triển bền vững
STH00067,chúc mừng sinh nhật sotrans group
STH00068,Chúc Công Ty ngày càng phát triển mạnh mẽ
STH00069,Chuc mung cty tròn 50nam tuỏi...thành cong mỹ mãn....lớn manh...cho cuôc song cong nhân duoc ấm no..
STH00070,Chúc mừng SOTRANS 50 năm thành lập. Nửa thế kỷ đưa logistic Việt Nam vươn tầm quốc tế!
STH00071,"Thêm một tuổi mới, chúc SOTRANS luôn vững bước và gặt hái nhiều thành công!"
STH00072,Chúc mừng sinh nhật SOTRANS
STL00001,Chúc mừng sinh nhật sotrans
STL00002,Kỉ niệm 50 năm một hành trình.Kính chúc cty ngày một lớn mạnh và phát triển mạnh mẽ trong tương lại
STL00003,NICE DAY
STL00006,"CHÚC CTY LUÔN PHÁT ĐẠT, NHÂN VIÊN LUÔN HẠNH PHÚC TRONG CUỘC SỐNG"
STL00007,"Chúc Sotrans thêm một tuổi mới thật nhiều bứt phá, giữ vững tinh thần đoàn kết và vươn xa hơn nữa!"
STL00008,Chúc mừng 50 năm sinh nhật Sotrans Group luôn thành công và phát triển vững mạnh.
STL00009,50 năm một hành trình rực rỡ-cùng gia đình SOTRANS GROUP viết tiếp ước mơ và chinh phục tầm cao mới.
STL00018,"Chúc công ty sinh nhật vui vẻ! Ngày càng phát triển, thịnh vượng."
STL00021,"Chúc Sotrans ngày càng lớn mạnh, là chỗ dựa vững chắc cho nhân viên, là sự lựa chọn hàng đầu của KH"
STL00022,Vạn sự tốt lành. Vạn điều hanh thông
STL00024,Chúc mừng sinh nhật SOTRANS
STL00025,Chúc Mừng sinh nhật Sotrans yêu !!!
STL00027,Chúc mừng sinh nhật SOTRANS
STL00029,HPDB
STL00030,Chúc mừng sinh nhật Sotrans Group
STL00031,Mừng kỷ niệm 50 năm: Gắn kết – Phát triển – Thành công
STL00036,Happy Birthday SOTRANS
STL00037,Chúc mừng sinh nhật SOTRANS
STL00038,Chúc mừng sinh nhật SOTRANS
STL00039,50 một chặng đường.chúc sotrans tiếp tục thành công và vươn tầm quốc tế
STL00040,Chúc Công ty ngày càng phát triển bền vững
STL00041,Happy Birthday! Chúc Công ty thêm tuổi mới với nhiều thành công mới
STL00042,Chúc công ty ngày càng thành công
STL00043,Chúc mừng sinh thần công ty Sotrans.
STL00044,"Chúc mừng sinh nhật công ty 50 năm, chúc công ty ngày càng vững mạnh và đạt nhiều mục tiêu"
STL00045,chúc công ty thật nhiều thành công nhé
STL00047,"chúc mừng sinh nhật đại gia đình Sotrans, chúc Sotrans sắp tới sẽ phát triển vượt bậc"
STL00048,Chúc công ty ngày càng phát triển mạnh
STL00049,Hẹ Hẹ Hẹ
STL00050,Chúc mừng Sotrans Group tròn 50 tuổi! Mong công ty của chúng ta ngày càng phát triển vững bền.
STL00051,Chúc công ty ngày càng phát triển.
STL00052,Chúc mừng sinh nhật Sotrans
STL00053,Happy Birthday Sotrans Group
STL00054,"Chúc mừng Sotrans 50 năm thành lập, luôn vững vàng phát triển, bền vũng hồng phát."
STL00056,"CHÚC SOTRANS PHÁT TRIỂN, THÀNH CÔNG, DẪN ĐẦU, VƯƠN TẦM THẾ GIỚI"
STL00058,
STL00059,
STL00062,
STL00067,
STL00068,"Chúc mừng Sotrans Logistics 50 năm thành công rực rỡ, vững bước tương lai, vươn xa thế giới.”"
STL00069,
STL00070,
STL00072,
STL00073,
STL00074,
STL00076,
STL00077,
STL00081,
STL00082,
STL00083,
STL00085,STL00053
STL00086,chúc công ty ngày càng phát đạt và lớn mạnh không những trong nước mà còn vươn ra tầm thế giới
STL00087,
STL00088,
STL00092,
STL00093,
STL00094,
STL00095,
STL00096,
STL00097,
STL00098,
STL00102,
STL00104,
STL00105,
STL00106,
STL00109,
STL00110,
STL00113,
STL00115,
STL00117,
STL00118,
STL00119,
STL00120,
STL00122,
STL00123,
STL00124,
STL00126,
STL00128,
STL00129,
STL00131,
STL00132,
STL00133,
STL00134,
STL00135,
STL00136,
STL00138,
STL00139,
STL00142,
STL00145,
STL00146,
STL00149,
STL00150,
STL00152,
STL00153,
STL00155,
STL00157,
STL00158,
STL00159,chúc mừng sinh nhật Sotrans
STL00160,
STL00161,
STL00163,
STL00164,
STL00166,
STL00167,
STL00169,
STL00171,
STL00174,
STL00176,
STL00177,
STL00178,
STL00179,
STL00180,
STL00181,
STL00184,
STL00185,
STL00188,
STL00189,
STL00190,
STL00191,
STL00195,
STL00196,
STL00199,
STL00204,
STL00205,
STL00207,
STL00208,"Kính chúc công ty tuổi mới vững mạnh hơn, đạt được nhiều thành công vang dội, và phát triển bền vững"
STL00209,CHÚC CÔNG TY NGÀY CÀNG PHÁT TRIỂN
STL00210,
STL00211,
STL00212,"chúc Sotrans sẽ có thêm nhiều lần 50 năm nữa, mãi mãi phát triển"
STL00213,Chúc mừng sinh nhật Sotrans 50 năm luôn phát triển bền vững.
STL00214,
STL00215,Mừng sinh nhật công ty 50 năm thành lập
STL00217,
STL00218,"Chúc công ty ngày càng phát triển bền vững, vươn xa tầm quốc tế,"
STL00219,"Chúc mừng Sotrans kỷ niệm 50 năm. Chúc Sotrans thành công, phát triển bền vững."
STL00220,
STL00221,50 năm không chỉ là thời gian mà còn là lịch sử - Happy Birthday!
STL00222,"Chúc mừng 50 năm thành công rực rỡ, vững bước phát triển bền vững!"""
STL00224,
STL00225,"Mừng ngày sinh nhật Sotrans,50 năm biết bao cống hiến cho đời"
STL00227,
STL00228,
STL00229,
STL00230,Happy birthday STL
STL00232,
STL00233,
STL00234,
STL00235,
STL00236,
STL00237,
STL00238,
STL00240,CONGRATULATIONS ! HAPPY BIRTHDAY SOTRANS- 50 YEARS
STL00241,
STL00242,
STL00243,
STL00244,
STL00245,
STL00246,
STL00247,
STL00248,
STL00249,
STL00250,
STL00251,
STL00252,
STL00253,
STL00254,
STL00255,
STL00256,
STL00259,
STL00260,
STL00261,
STL00262,
STL00264,
STL00266,
STL00267,
STL00269,Quan hệ kinh doanh của chúng ta là cảm hứng và độc đáo. Chúc c.ty càng ngày phát triển và lớn mạnh.
STL00270,
STL00271,
STL00272,
STL00273,
STL00274,
STL00275,
STL00276,
STL00277,
STL00278,
STL00279,
STL00280,
STL00281,
STL00282,
STL00283,Cùng cả nước đón mừng sinh nhật Sotrans 1975-2025
STL00285,Chúc SOTRANS tiếp tục giữ vững vị thế tiên phong trong ngành logistics.
STL00286,"Chúc công ty ngày càng phát triển, không chỉ về doanh thu mà còn cả về số ngày nghỉ phép cho nv ^^"
STL00287,
STL00289,
STL00291,"Chúc STG tuổi mới bứt phá, vươn mình và tiếp tục giữ vững, khẳng định vị thế"
STL00292,
STL00296,"Chúc mừng Sotrans 50 năm, một hành trình đáng tự hào.Chúc Sotrans tiếp tục rạng rỡ ở chặng đường tới"
STL00297,Chúc mừng sinh nhật 50 năm Sotrans – nơi Xuân luôn tự hào và gắn bó! ❤️
STL00298,
STL00299,"Chúc công ty ngày càng lớn mạnh, chinh phục những đỉnh cao mới."
STL00300,happy happy
STL00302,
STL00303,
STL00304,
STL00305,
STL00306,20 năm của tôi trong 50 năm Sotrans và còn nữa
STL00308,
STL00309,Chúc SOTRANS mãi thịnh vượng
STL00310,
STL00311,
STL00312,"Chúc công ty SOTRANS ngày càng phát triển, vươn xa và bền vững!"
STL00314,
STL00315,"Mừng công ty thêm tuổi mới. Phát triển bền vững, đột phá thành công. Uy tín vang xa khắp 5 Châu 4 Bể"
STL00317,
STL00318,
STL00320,
STL00321,
STL00323,
STL00325,"Chúc mừng 50 năm thành lập! Kính chúc công ty phát triển bền vững, vươn xa và thịnh vượng mãi mãi!"
STL00326,
STL00327,Chúc mừng sinh nhật STG
STL00328,"Chúc mừng Sinh nhật STL, chúc cho STL ngày càng phát triển"
STL00329,"Chúc mừng sinh nhật Công ty Sotrans Logistics! Chúc công ty ngày càng phát triển vững mạnh, bền vững"
STL00330,
STL00331,CHÚC MỪNG SINH NHẬT SOTRANS. CHÚC SOTRANS PHÁT TRIỂN LỚN MẠNH
STL00332,
STL00333,
STL00334,
STL00335,
STL00336,
STL00340,"Chúc STG phát triển lớn mạnh, thành công. Anh chị em đồng nghiệp mạnh khỏe, bình an!"
STL00341,
STL00343,"Mừng sinh nhật công ty, hy vọng công ty sẽ vươn vai kết nối với toàn cầu, mở rộng quy mô hoạt động."
STL00347,"Mừng sinh nhật SOTRANS. Chúc công ty thịnh vượng, luôn thuộc top công ty logistics uy tín"
STL00348,CHÚC MỪNG SINH NHẬT SOTRANS. CHÚC SOTRANS LUÔN PHÁT TRIỂN VÀ LỚN MẠNH.
STL00349,Hội nhập - phát triển- đón đầu xu hướng Logictis . Sotrans VN tăng trưởng vững bền
STL00350,
STL00351,
STL00352,
STL00354,
STL00355,Chúc mừng sinh nhật SOTRANS
STL00356,"Chúc công ty tuổi mới phát tài phát lộc 8386, Sotrans mãi đỉnh mãi đỉnh ♥️"
STL00359,
STL00362,
STL00364,"50 năm – một hành trình bền bỉ, một chặng đường tự hào. Chúc mừng sinh nhật Sotrans"
STL00365,
STL00367,"Chúc Sotrans luôn vững mạnh, không ngừng đổi mới, gặt hái thành công vượt bậc hơn nữa"
STL00368,
STL00369,Chúc Sotrans mãi đỉnh ^^
STL00373,
STL00374,
STL00376,
STL00377,
STL00382,
STL00383,Chúc Công ty ngày càng phát triển
STL00387,Chúc cho công ty làm ăn thật phát đạt. Ngày càng lớn mạnh và tăng trưởng vượt bậc
STL00392,"xin chúc công ty ngày càng phát triển vững mạnh, không ngừng đổi mới và vươn xa hơn."
STL00394,
STL00395,
STL00397,
STL00398,
STL00402,
STL00403,
STL00411,
STL00416,CHÚC CÔNG TY NGÀY CÀNG PHÁT TRIỂN ĐỂ ĐỜI SỐNG NHÂN VIÊN ĐI LÊN
STL00421,
STL00424,"Happy Golden Anniversary, SOTRANS!Forward together – Faster, Stronger, Smarter!"
STL00428,
STL00430,Chúc cho công ty làm ăn thật phát đạt. Ngày càng lớn mạnh và tăng trưởng vượt bậc.
STL00433,Chúc mừng công ty nhân dịp kỷ niệm 50 năm thành lập! Chúc công ty ngày càng phát triển
STL00434,"MỪNG SINH NHẬT CTY, CHÚC CTY ĂN NÊN LÀM RA, DOANH THU HƠN 1000 TỶ"
STL00437,Happy birthday Sotrans
STL00440,
STL00442,Chúc mừng sinh nhật cty ạ
STL00446,
STL00452,
STL00454,
STL00456,
STL00458,chuc mung sinh nhat
STL00459,
STL00460,
STL00461,HPBD🥳🥳🥳
STL00463,
STL00464,
STL00465,
STL00466,
STL00471,"húc công ty tiếp tục vững bước phát triển, ngày càng lớn mạnh, không ngừng đổi mới – sáng tạo."
STL00473,wish SOTRANS more and more prosperous
STL00474,
STL00475,"Nửa thế kỷ lập nghiệp, chúc Sotrans Group ngày càng vững bước trường tồn, vươn mình ra biển lớn."
STL00480,HPBD
STL00482,
STL00486,
STL00492,
STL00493,MỪNG SINH NHẬT CÔNG TY LẦN THỨ 50
STL00495,"Chúc mừng sinh nhật công ty! Chúc doanh nghiệp ta phát triển , vươn tầm. Sotrans mãi đỉnh"
STL00496,"CHÚC CÔNG TY ĂN NÊN LÀM RA, SỐNG LÂU MẤY TRĂM TUỔI KKK"
STL00502,
STL00509,
STL00510,
STL00512,
STL00513,"CHÚC MỪNG SINH NHẬT SOTRANS ""GHÉP ĐÔI"""
STL00514,
STL00515,
STL00516,
STL00518,
STL00522,
STL00526,
STL00528,
STL00529,
STL00531,Ngày mới vui vẻ
STL00534,
STL00536,
STL00537,
STL00543,
STL00545,
STL00549,
STL00552,
STL00554,
STL00555,
STL00556,
STL00557,
STL00558,"Wishing the company continued growth, sustainable success, and many new achievements in the yeaahead"
STL00560,CHÚC MỪNG SINH NHẬT 50 NĂM
STL00572,
STL00577,"Chúc mừng sinh nhật Sotrans ! Chúc công ty ngày càng lớn mạnh, vươn xa"
STL00581,
STL00583,
STL00585,Chúc công ty phát triển thịnh vượng
STL00588,
STL00593,"Chúc công ty luôn bứt phá, thành công rực rỡ."
STL00595,
STL00596,CHÚC MỪNG SINH NHẬT SOTRANS YÊU
STL00597,
STL00602,"Kính chúc công ty sẽ ngày càng phát triển mạnh mẽ, tiếp tục có những bước đi thật vững chắc."
STL00603,
STL00604,
STL00605,
STL00606,Congratulations on the 50th anniversary of Sotrans's remarkable journey and success!
STL00607,Mừng sinh nhật lần thứ 50 của công ty. Hy vọng SOTRANS sẽ phát triển hơn nữa trong tương lai.
STL00608,Chúc mừng sinh nhật
STL00611,
STL00613,
STL00615,
STL00617,
STL00619,"Nhân dịp 50 năm thành lập, chúc cho STG ngày càng vững mạnh, phát triển thịnh vượng và vươn xa hơn!!"
STL00620,
STL00622,
STL00623,
STL00624,"chúc mừng sinh nhật 50 năm Công ty Sotrans, Mong rằng công ty sẽ ngày càng lớn mạnh, bền vững."
STL00625,
STL00627,CHÚC MỪNG SINH NHẬT SOTRANS
STL00628,
STL00630,Sinh nhật vui vẻ
STL00631,
STL00633,
STL00634,
STL00635,Happy birthday
STL00636,
STL00638,"Happy Birthday to our company! Wishing continuous growth, success, and prosperity in the years ahead"
STL00640,"Chúc mừng sinh nhật công ty 50 năm, chúc công ty ngày càng vững mạnh đạt nhiều thành tựu."
STL00641,"Chúc mừng sinh nhật đại gia đình Sotrans, chúc Sotrans phát triển vững mạnh, tăng trưởng vượt bậc"
